city,city_ascii,lat,lng,population,isolation_value,zoom_level
Qiqihar,Qiqihar,47.3549,123.9182,4067489,399.7634181540759,3.5
Phoenix,Phoenix,33.5722,-112.0892,4064275,586.4674056427025,3.5
Fuzhou,Fuzhou,27.949,116.358,4047200,165.20953486612424,5.0
Chifeng,Chifeng,42.257,118.888,4035967,334.44007177515795,4.0
Xiaoxita,Xiaoxita,30.692,111.287,4017607,166.62822363959796,5.0
Amman,Amman,31.9497,35.9328,4007526,495.2271200778007,3.5
Chuzhou,Chuzhou,32.256,118.333,3987054,47.25479531804049,7.0
Linfen,Linfen,36.088,111.519,3976481,126.7741650135298,5.5
Qingyuan,Qingyuan,23.682,113.056,3969473,64.81370840648019,6.5
Xianyang,Xianyang,34.3299,108.7088,3959842,22.76476158555506,8.0
Loudi,Loudi,27.6998,111.9944,3931800,72.92340361635794,6.5
Binzhou,Binzhou,37.383,117.971,3928568,115.75246887922388,5.5
Zhuzhou,Zhuzhou,27.829,113.133,3902738,48.280455815979145,7.0
Taiyuan,Taiyuan,37.8704,112.5497,3875053,172.927927911016,5.0
Nanning,Nanning,22.8167,108.3275,3837978,134.25623746360728,5.5
Harbin,Harbin,45.7576,126.6409,3830000,231.414107947665,4.5
Abuja,Abuja,9.0667,7.4833,3770000,536.9105477724004,3.5
Yokohama,Yokohama,35.4442,139.6381,3757630,27.73349988264934,7.5
Suihua,Suihua,46.654,126.969,3756167,102.8231898295781,5.5
Zaozhuang,Zaozhuang,34.8109,117.3238,3729140,67.58276054237896,6.5
Detroit,Detroit,42.3834,-83.1024,3725908,338.46930476539484,4.0
Xiamen,Xiamen,24.4796,118.0889,3707090,44.868131145223046,7.0
Neijiang,Neijiang,29.5802,105.058,3702847,87.22019484583289,6.0
Montréal,Montreal,45.5089,-73.5617,3675219,406.37431704235513,3.5
Fuzhou,Fuzhou,26.0743,119.2964,3671192,147.2542406265479,5.5
Baicheng,Baicheng,23.903,106.619,3669400,212.14573983737608,5.0
Wuhu,Wuhu,31.3526,118.4331,3644420,85.27235320908481,6.0
Yulinshi,Yulinshi,38.2858,109.7341,3634750,250.72859273482956,4.5
Medan,Medan,3.5894,98.6739,3632000,338.9589551228533,4.5
Wenzhou,Wenzhou,27.9938,120.6993,3604446,226.23302332403784,5.0
Changzhou,Changzhou,31.811,119.974,3601079,71.95970543109667,6.5
Puyang,Puyang,35.7627,115.0292,3598740,71.51680169887845,6.5
Jiaozuo,Jiaozuo,35.2157,113.2419,3590700,62.94927614697614,6.5
Nanchang,Nanchang,28.683,115.858,3576547,95.1678257199857,6.0
Seattle,Seattle,47.6211,-122.3244,3561397,1537.0767228145764,1.5
Ibadan,Ibadan,7.3964,3.9167,3552000,120.05802653340989,6.0
Casablanca,Casablanca,33.5333,-7.5833,3499000,839.2072460378167,3.0
Kumasi,Kumasi,6.7,-1.625,3490030,307.5420292606469,4.5
Deyang,Deyang,31.127,104.398,3456161,46.37422599670981,7.0
Busan,Busan,35.18,129.075,3453198,323.8386968094318,4.0
Hohhot,Hohhot,40.842,111.749,3446100,264.14296190549686,4.5
Hechi,Hechi,24.693,108.085,3417945,141.87036952240135,5.5
Algiers,Algiers,36.7539,3.0589,3415811,520.303581158334,3.5
Tangshan,Tangshan,39.6294,118.1739,3399231,99.83993578387498,6.0
Shiyan,Shiyan,32.629,110.7987,3398000,142.12542613977203,5.5
Lucknow,Lucknow,26.85,80.95,3382000,415.1237702972745,4.0
